"sens_qvoa","spec_qvoa","sens_udsa","spec_udsa","mle","ci_lb","ci_ub","code","msg"
0.8,0.9,0.8,0.9,3.33134255430118,1.27376206369201,8.71265013336225,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.8,0.9,2.80430644697252,1.09726243370093,7.16704992989408,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,0.9,0.8,0.9,1.06861728243636,0.609810556720526,1.87261910069722,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.8,0.9,0.9,0.9,3.00094131681116,1.19811208919827,7.51653277530198,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.9,0.9,2.58784992266446,1.03438896303809,6.47432200220397,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,0.9,0.9,0.9,1.06202681214842,0.607717665156295,1.85596209291046,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.8,0.9,1,0.9,2.7284112523358,1.12985709093514,6.58864560978353,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,1,0.9,2.39138945747353,0.972095626470862,5.88290223882307,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,0.9,1,0.9,1.05417449579718,0.604979589719308,1.83689480847584,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,1,1,1,1.40557463406681,0.864229796033695,2.28601242516639,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
