"constant_Tau","Tau","n","M","q","Rel_Bias_MLE_woUDSA","ESE_MLE_woUDSA","ASE_MLE_woUDSA","CP_MLE_woUDSA","Rel_Bias_BCMLE_woUDSA","ESE_BCMLE_woUDSA","ASE_BCMLE_woUDSA","CP_BCMLE_woUDSA","Rel_Bias_MLE_wUDSA","ESE_MLE_wUDSA","ASE_MLE_wUDSA","CP_MLE_wUDSA","Rel_Bias_BCMLE_wUDSA","ESE_BCMLE_wUDSA","ASE_BCMLE_wUDSA","CP_BCMLE_wUDSA"
FALSE,0.5,6,12,0.5,0.0809114646700892,0.24382022958755,0.242862957352935,0.956,0.0165020901878475,0.223519953555082,0.242862957352935,0.771,0.0883655307281706,0.228015337835982,0.232724356352455,0.962,-0.048305619045269,0.211189067577592,0.232724356352455,0.987
TRUE,0.5,6,12,0.5,0.110422391683608,0.245791081168931,0.247369633086908,0.943,0.0437491156481463,0.225089218959415,0.247369633086908,0.795,0.119897125766017,0.222959927180795,0.236360379552409,0.954,-0.0171391178126731,0.207656016432152,0.236360379552409,0.989
FALSE,0.5,6,12,0.75,0.0722211380037944,0.251068831129545,0.241231518378362,0.95,0.00819563982576111,0.230414335740232,0.241231518378362,0.778,0.0786691564847987,0.232690426440989,0.224583411017212,0.951,-0.0037158927421264,0.218130041206419,0.224583411017212,0.969
TRUE,0.5,6,12,0.75,0.0443869733359143,0.251954125794692,0.237015914560088,0.953,-0.0176874681169614,0.231185810818959,0.237015914560088,0.74,0.051661393166929,0.221707447316408,0.220477690057159,0.964,-0.0273494399320008,0.208977846999139,0.220477690057159,0.982
FALSE,0.5,6,12,1,0.053757490266828,0.258414932638747,0.238608322830272,0.948,-0.00949022409989251,0.235448422689081,0.238608322830272,0.74,0.0395569767432912,0.217462720667917,0.213753770969651,0.956,-0.00804965186495822,0.206635513206087,0.213753770969651,0.976
TRUE,0.5,6,12,1,0.0608015951231603,0.255880436543198,0.239392000110383,0.95,-0.0025939580151553,0.234821341341648,0.239392000110383,0.756,0.0569620321478458,0.226120814649763,0.213979035768148,0.948,0.00923193358405388,0.215202198894922,0.213979035768148,0.968
FALSE,0.5,6,24,0.5,0.0543335129985968,0.170704392737285,0.169446880885541,0.945,0.0243300218510282,0.164173475644842,0.169446880885541,0.789,0.0572360451826294,0.157081029127404,0.161289956573979,0.958,-0.0025122545168361,0.151872055737826,0.161289956573979,0.976
TRUE,0.5,6,24,0.5,0.0293907180846847,0.172800194315898,0.166733036788074,0.937,0.000252988889944987,0.166305695800688,0.166733036788074,0.741,0.0336667366481882,0.163749492793477,0.15854062253888,0.949,-0.0231292886350176,0.158641225645736,0.15854062253888,0.97
FALSE,0.5,6,24,0.75,0.0345292571915123,0.168772071823344,0.167258986314388,0.945,0.00527932164184411,0.162596692905026,0.167258986314388,0.754,0.0414456964900262,0.158205322197752,0.155190763199826,0.947,0.00593418498614602,0.153813839216718,0.155190763199826,0.967
TRUE,0.5,6,24,0.75,0.0244586459333495,0.176878639630184,0.166146874118017,0.934,-0.0045579412693611,0.170233251789987,0.166146874118017,0.736,0.0222487587393079,0.159391833394662,0.152856229270266,0.942,-0.0117219802187094,0.155166354492755,0.152856229270266,0.96
FALSE,0.5,6,24,1,0.0335488036523967,0.171936818009719,0.167161644830279,0.946,0.00428263801604365,0.165534610443925,0.167161644830279,0.745,0.0205409226201344,0.14871753805419,0.149701381635321,0.964,-0.0018643638849425,0.145177505398916,0.149701381635321,0.967
TRUE,0.5,6,24,1,0.0319087927218979,0.172728869428954,0.166980790741011,0.932,0.00268560622717679,0.1662547890177,0.166980790741011,0.735,0.0347372624642387,0.156968011810536,0.149811614423243,0.941,0.0123319261721289,0.153283871177627,0.149811614423243,0.958
FALSE,0.5,6,32,0.5,0.0192068893521232,0.148810294801568,0.143608077242645,0.95,-0.00215738771675859,0.144734966174555,0.143608077242645,0.685,0.0264364645268107,0.141073800528409,0.13705698235802,0.945,-0.0156483800202585,0.137580513686232,0.13705698235802,0.962
TRUE,0.5,6,32,0.5,0.00690833847530861,0.147099812808904,0.142507822625663,0.951,-0.0141227152527226,0.143067052211494,0.142507822625663,0.687,0.0138675903079814,0.137753831567221,0.135677533265611,0.953,-0.0259466751811633,0.134426338882259,0.135677533265611,0.96
FALSE,0.5,6,32,0.75,0.0188677016088761,0.145846420027772,0.143610742830298,0.959,-0.00246902185912884,0.141799112772762,0.143610742830298,0.717,0.016613625186234,0.131139941376412,0.132811177329552,0.949,-0.00916860999954052,0.128265084156493,0.132811177329552,0.957
TRUE,0.5,6,32,0.75,0.00495456799523008,0.14819226776657,0.142315783589445,0.948,-0.0160349401869956,0.144123937187223,0.142315783589445,0.685,0.00958515990070546,0.132072347530404,0.131676263365351,0.956,-0.0151506079066027,0.129288546097236,0.131676263365351,0.958
FALSE,0.5,6,32,1,0.0163882695895748,0.148590224900873,0.143364971350814,0.95,-0.00490265727969641,0.144500447433038,0.143364971350814,0.693,0.00650109325805549,0.129075263136831,0.128729157057094,0.954,-0.0098435876087186,0.1267528858434,0.128729157057094,0.958
TRUE,0.5,6,32,1,0.0226983313351025,0.149182274868603,0.143951726530275,0.947,0.00123570293958337,0.145054143933364,0.143951726530275,0.681,0.0169047928244101,0.132360725482649,0.128664174111268,0.957,0.00059604446392466,0.130027064054502,0.128664174111268,0.962
FALSE,0.5,12,12,0.5,0.0781294681438221,0.242372568411687,0.242468562552905,0.946,0.0140240635488221,0.22253607995985,0.242468562552905,0.781,0.0970775232406351,0.22412761741974,0.232608078388827,0.957,-0.0352903618621665,0.209483362173296,0.232608078388827,0.985
TRUE,0.5,12,12,0.5,0.108110453462438,0.262306367588472,0.24706905044455,0.944,0.0406304293163758,0.238204198389663,0.24706905044455,0.777,0.116125879803384,0.236031291431567,0.234291457545472,0.947,-0.0156465190977746,0.22167389571285,0.234291457545472,0.979
FALSE,0.5,12,12,0.75,0.0798150885980208,0.262732524794374,0.242374321272656,0.945,0.014515774664206,0.239421298613994,0.242374321272656,0.763,0.0761960048329359,0.230550547577828,0.221925265911298,0.953,-0.000793197869341368,0.21729138606726,0.221925265911298,0.984
TRUE,0.5,12,12,0.75,0.0574222649544966,0.248816536038746,0.239211275633154,0.95,-0.00551700724958177,0.227930843185873,0.239211275633154,0.769,0.0607570879429741,0.219856441491967,0.22001042508323,0.953,-0.0157159674226808,0.208520943447503,0.22001042508323,0.982
FALSE,0.5,12,12,1,0.0655652166369397,0.260342466813473,0.240072051622224,0.95,0.00161533145535486,0.238700393148219,0.240072051622224,0.753,0.039794694846421,0.219914853401907,0.210528098758499,0.956,-0.00611472973601763,0.209780693492009,0.210528098758499,0.965
TRUE,0.5,12,12,1,0.0397549021588972,0.263250379280544,0.236465270452817,0.945,-0.0227610980860268,0.239475897934445,0.236465270452817,0.751,0.0225942661957924,0.214357813952751,0.208307232658303,0.97,-0.0221210635036581,0.204654767250935,0.208307232658303,0.97
FALSE,0.5,12,24,0.5,0.0278630148923875,0.167508413524186,0.166601858951758,0.944,-0.001153594807973,0.161228253302206,0.166601858951758,0.749,0.0368285728368965,0.160065938645991,0.158076301937355,0.948,-0.016221800773189,0.155826333634229,0.158076301937355,0.963
TRUE,0.5,12,24,0.5,0.02946708263537,0.177781572155464,0.166709686501787,0.94,0.000258140093497701,0.171056133018417,0.166709686501787,0.726,0.0353427032313523,0.165979644441056,0.157614662292503,0.949,-0.0166570657904742,0.161501381215076,0.157614662292503,0.964
FALSE,0.5,12,24,0.75,0.0266523923419458,0.168047861426174,0.166403136867857,0.946,-0.00231509538514444,0.161874146151233,0.166403136867857,0.757,0.0191077116207892,0.151698264280475,0.151770748758673,0.959,-0.0128918514438898,0.147837949451711,0.151770748758673,0.967
TRUE,0.5,12,24,0.75,0.0105740645363408,0.172819193708434,0.16475794445607,0.941,-0.017911150425366,0.166290217144069,0.16475794445607,0.707,0.0108503413417982,0.157560464801671,0.150743829230308,0.954,-0.0205696819558661,0.153809198304012,0.150743829230308,0.962
FALSE,0.5,12,24,1,0.0255118121223304,0.173309589105801,0.166253737294043,0.928,-0.00348721254817322,0.166878921013231,0.166253737294043,0.751,0.0196183608907435,0.156813407924194,0.147413947771642,0.942,-0.00162794559893755,0.15332307387139,0.147413947771642,0.953
TRUE,0.5,12,24,1,0.00894669438539824,0.170401804864278,0.164525055480307,0.939,-0.0194336720803365,0.164131733862974,0.164525055480307,0.737,0.00170735986649905,0.146192316887302,0.145913096064761,0.955,-0.0188886904905978,0.142987773153167,0.145913096064761,0.962
FALSE,0.5,12,32,0.5,0.0226817122535948,0.151299871163181,0.143927431388786,0.939,0.00120076624360659,0.147095200864772,0.143927431388786,0.686,0.02404842740951,0.141467185569662,0.135874464461513,0.944,-0.0135187882069649,0.138453959878702,0.135874464461513,0.952
TRUE,0.5,12,32,0.5,0.0265363418051208,0.144766892505268,0.144313634827611,0.954,0.00501237776405231,0.140805270158619,0.144313634827611,0.706,0.0229790095024518,0.132955043359005,0.135716408259207,0.956,-0.013559367366688,0.130103586106865,0.135716408259207,0.961
FALSE,0.5,12,32,0.75,0.030179701585732,0.149967223265702,0.144640837922129,0.948,0.00850930105848941,0.145759553162542,0.144640837922129,0.706,0.0275677559327656,0.132157156973523,0.132142930034511,0.955,0.00408357751628307,0.129478571483247,0.132142930034511,0.961
TRUE,0.5,12,32,0.75,0.0143607461443994,0.143985068004055,0.143202142516371,0.958,-0.00683653699105335,0.140073135650523,0.143202142516371,0.687,0.01932213708808,0.132556898561745,0.131306028528447,0.955,-0.00350522017291543,0.129910602088822,0.131306028528447,0.966
FALSE,0.5,12,32,1,0.0336401018486047,0.14859349804832,0.144930622494262,0.944,0.011897793532558,0.14450872218248,0.144930622494262,0.691,0.0215271065703846,0.127190175929077,0.128006668274831,0.949,0.00599740164334684,0.125068015236954,0.128006668274831,0.965
