"sens_qvoa","spec_qvoa","sens_udsa","spec_udsa","mle","ci_lb","ci_ub","code","msg"
0.9,0.8,0.9,0.8,0.0389630172413692,0.00141614528937792,1.07200632868546,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.9,0.8,0.0549537204157994,0.00581222946278843,0.519578830614344,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,1,0.9,0.8,0.0797882665189606,0.0220957511808603,0.288117268428293,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.8,0.9,0.9,0.0584941662344214,0.010264098900766,0.333352934002299,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.9,0.9,0.0664243742403573,0.0152090352963939,0.29010370528032,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,1,0.9,0.9,0.0834493524514573,0.0287872559592957,0.241905461028107,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.8,0.9,1,0.206743854282397,0.121995349657731,0.350365988568095,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.9,1,0.204535515033959,0.121301292724694,0.344883191023819,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,1,0.9,1,0.208333979324323,0.125374950945298,0.346185953524675,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,1,1,1,0.177833129702659,0.10902210569314,0.290075318384101,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
