"sens_qvoa","spec_qvoa","sens_udsa","spec_udsa","mle","ci_lb","ci_ub","code","msg"
0.8,0.9,0.8,0.9,0.0362915547342578,0.00694543260381547,0.1896320963947,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.8,0.9,0.0312236707023291,0.00597484883192387,0.163170255775921,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,0.9,0.8,0.9,0.027398705231168,0.00524398391447455,0.143152431545865,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.8,0.9,0.9,0.9,0.0383084781193833,0.00795831623458883,0.184403264781686,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.9,0.9,0.0328373293092754,0.00681642753611522,0.158189930202109,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,0.9,0.9,0.9,0.0288628183722064,0.00600525761210411,0.138722156183253,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.8,0.9,1,0.9,0.0399802179601962,0.00885180147739976,0.18057542662088,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,1,0.9,0.0343683216965831,0.0076244811715344,0.154919595139103,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,0.9,1,0.9,0.0300501459652935,0.0066689655970919,0.135404997879914,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,1,1,1,0.130314073302096,0.0743648792792252,0.228357228105233,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
