"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.9,0.8,0.9,0.8,6,1,1,1,1,1,1.38015899820793,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.2438001935328,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,2,1.71705487126105,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.81896697552628,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,3,1.11216137319622,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.76964778814218,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,4,1.41218158975952,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.2438001935328,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,5,1.1629769293991,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.96601186840045,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,6,1.44959138825574,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.33887237343074,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,7,0.782669075888749,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.35246447841897,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,8,1.57244286231412,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.54948043407471,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,9,0.962804829057677,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.00288530038904,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,10,1.17051583651358,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.92590074663798,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,11,0.989154046715946,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.08820052297005,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,12,1.38421327797896,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.3202854511927,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,13,1.10810999622942,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.970306705245,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,14,1.65678599736563,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.51177210791396,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,15,2.47763484079871,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.44040177007921,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,6,1,1,1,1,16,0.95134440093738,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.2299278536208,NA,NA,TRUE
