"gamma","M","seed","M.label","error","num_redo_all","num_redo_none","mle_pois","mle_pois_bc","mle_negbin","mle_gamma","lrt_stat"
0,1,1,"(6, 12, 18)",0,0,0,1.05816178299636,1.05053170467231,3.62619896793868,10.91214663685,1.65961723741779
0.2,1,1,"(6, 12, 18)",0,0,0,1.07345001341385,1.06558643935179,3.88153730498065,10.6870039134407,1.66221118172956
1,1,1,"(6, 12, 18)",0,0,0,1.0534307404776,1.0462914600118,6.97903569012213,19.7329378953585,2.46498027941288
4,1,1,"(6, 12, 18)",0,0,0,1.07036262583322,1.06256504223503,1.46327290220497,3.08697005949734,0.235429219857224
0,2,1,"(30, 60, 90)",0,0,0,0.970068679003812,0.969005628245992,0.970068679003812,0,0
0.2,2,1,"(30, 60, 90)",0,0,0,1.05174929114965,1.05030154480293,1.05167615001048,2.15396991322398e-05,4.55147551292612e-06
1,2,1,"(30, 60, 90)",0,0,0,1.02660799206072,1.02527520049902,1.09514102297714,0.839953101286565,0.0659832275935059
4,2,1,"(30, 60, 90)",0,0,0,0.757315858639089,0.757328411863962,1.2818188113501,9.01516622730853,2.40993574076288
0,1,2,"(6, 12, 18)",0,0,0,1.36452748556606,1.35030437330891,1.36452748556606,0,0
0.2,1,2,"(6, 12, 18)",0,0,0,0.980355921782792,0.973835462371353,1.91457168122422,6.89852637392785,0.94608103363359
1,1,2,"(6, 12, 18)",0,0,0,0.939151078356008,0.934466517223158,0.939151078356008,0,0
4,1,2,"(6, 12, 18)",0,0,0,0.858916977698433,0.856167591546769,15663.7288368102,55.6699579648215,4.75424867737905
0,2,2,"(30, 60, 90)",0,0,0,0.980413332285296,0.97929395106025,1.35771771849651,4.37202401594605,1.63389435692284
0.2,2,2,"(30, 60, 90)",0,0,0,0.969109269262236,0.968033976107835,1.09558005111925,1.55799235289735,0.209973133814856
1,2,2,"(30, 60, 90)",0,0,0,0.93333374163498,0.932440119649846,1.05524714458865,1.72087163052071,0.251830474181361
4,2,2,"(30, 60, 90)",0,0,0,0.934308513874273,0.933407303085851,1.26449518519203,4.08183408286151,1.21399778783393
0,1,3,"(6, 12, 18)",0,0,0,1.27587281261588,1.26342839193388,3.49655154122346,7.39148238764805,2.24323633180691
0.2,1,3,"(6, 12, 18)",0,0,0,1.30184235256493,1.28905174539873,1.30184235256493,0,0
1,1,3,"(6, 12, 18)",0,0,0,0.87418511436669,0.871014419834233,1.24566763068118,3.68943397687353,0.273833767186801
4,1,3,"(6, 12, 18)",0,0,0,0.667178613037542,0.669705917656545,0.829633107230507,3.87549907484932,0.0868730615124491
0,2,3,"(30, 60, 90)",0,0,0,0.998916032127964,0.997718176498946,1.06707373556005,0.890022702190503,0.0795957911304868
0.2,2,3,"(30, 60, 90)",0,0,0,0.974901001980512,0.973806216250149,0.974817342996945,6.94140581809033e-05,2.94092524200096e-05
1,2,3,"(30, 60, 90)",0,0,0,0.953408654225073,0.952400365414584,1.31488071746462,3.98348114462931,1.28502989743174
4,2,3,"(30, 60, 90)",0,0,0,0.776806958141754,0.776707107230697,1.24033190993909,7.5557321297641,2.31216803720224
0,1,4,"(6, 12, 18)",0,0,0,1.20976924529109,1.19868337423201,3.91145843993836,8.31489148266094,1.84338133229892
0.2,1,4,"(6, 12, 18)",0,0,0,1.11894785274336,1.11020156841492,303.112206170963,38.950600595655,5.51981448876597
1,1,4,"(6, 12, 18)",0,0,0,0.81379350738129,0.812201309645252,2.20173256115109,12.4030317010919,0.993665228295072
4,1,4,"(6, 12, 18)",0,0,0,0.783863141083763,0.783062812535636,0.783863141083763,0,0
0,2,4,"(30, 60, 90)",0,0,0,1.08426860866529,1.0826660473815,1.21748356562422,1.36048105929886,0.216094309746495
0.2,2,4,"(30, 60, 90)",0,0,0,1.06837740723016,1.06684773314132,1.47790021476507,3.79625032776699,1.30830500194179
1,2,4,"(30, 60, 90)",0,0,0,0.870194079812729,0.8696024231674,0.870194079812729,0,0
4,2,4,"(30, 60, 90)",0,0,0,0.733567120432215,0.733697038664683,0.923425089329999,4.19167332245288,0.573519923334402
0,1,5,"(6, 12, 18)",0,0,0,0.875339130885936,0.872441842488461,0.875339130885936,0,0
0.2,1,5,"(6, 12, 18)",0,0,0,0.67744805735691,0.678828787340938,9.39240145843669,27.4141258952794,1.94681178651516
1,1,5,"(6, 12, 18)",0,0,0,0.872335599132288,0.869521566579466,0.872335599132288,0,0
4,1,5,"(6, 12, 18)",0,0,0,0.552561815077935,0.557195438562232,0.552561815077935,0,0
0,2,5,"(30, 60, 90)",0,0,0,0.992241523750975,0.991069077319141,2.07770442242792,9.15539323008664,4.45783522393049
0.2,2,5,"(30, 60, 90)",0,0,0,1.09807046119905,1.09641230982453,1.4669863955406,3.369670249873,1.24123464042486
1,2,5,"(30, 60, 90)",0,0,0,0.924961007401683,0.924098107995295,1.09852499077719,2.2930986062245,0.42398660448498
4,2,5,"(30, 60, 90)",0,0,0,0.902577937475472,0.901835230534097,0.902577937475472,0,0
0,1,6,"(6, 12, 18)",0,0,0,0.991535792030831,0.984728977663061,1.39435668136426,3.15370931873318,0.368034106573248
0.2,1,6,"(6, 12, 18)",0,0,0,0.723874115866323,0.724937509037117,0.723874115866323,0,0
1,1,6,"(6, 12, 18)",0,0,0,0.809703296071561,0.808576124820143,0.844328654557371,0.581902110466739,0.00232665249069441
4,1,6,"(6, 12, 18)",0,0,0,0.768028322337033,0.766871231258781,1.10572978467945,4.88486829041454,0.441767518653165
0,2,6,"(30, 60, 90)",0,0,0,1.02644421306696,1.02511937076438,1.02644421306696,0,0
0.2,2,6,"(30, 60, 90)",0,0,0,1.02870339101213,1.02735179397625,1.02870339101213,0,0
1,2,6,"(30, 60, 90)",0,0,0,0.900138597040363,0.899407526780126,0.963257781794615,1.00186220120875,0.0870735484529632
4,2,6,"(30, 60, 90)",0,0,0,0.794133315211795,0.793925123518145,2.29120978992737,14.7855592719493,5.77986675367833
0,1,7,"(6, 12, 18)",0,0,0,1.08959945162993,1.07970871384225,1.08959945162993,0,0
0.2,1,7,"(6, 12, 18)",0,0,0,0.912656979938812,0.90791031356374,0.912656979938812,0,0
1,1,7,"(6, 12, 18)",0,0,0,0.989368168445328,0.983372970732426,0.989368168445328,0,0
4,1,7,"(6, 12, 18)",0,0,0,0.972394975241897,0.965774973474578,30.845650070018,20.501620766769,3.83771556329916
0,2,7,"(30, 60, 90)",0,0,0,1.13399132678925,1.13217220666947,1.46223225274358,2.80646522382653,0.958690088668618
0.2,2,7,"(30, 60, 90)",0,0,0,1.00126689914071,1.00004435363937,1.16642715239824,1.97019896470879,0.429662423553509
1,2,7,"(30, 60, 90)",0,0,0,0.931755358457041,0.930869339011362,0.931755358457041,0,0
4,2,7,"(30, 60, 90)",0,0,0,0.802458545730616,0.802216018467452,1.24338300325915,7.15109110023807,2.1222110152903
0,1,8,"(6, 12, 18)",0,0,0,0.840389633637449,0.838120164943269,2.88024472147748,14.8286822411667,1.99877330061292
0.2,1,8,"(6, 12, 18)",0,0,0,1.22928738700502,1.21711720760725,1.22928738700502,0,0
1,1,8,"(6, 12, 18)",0,0,0,1.14544276093987,1.13591092392641,1.1890968367694,0.373461405925253,0.00534562008513717
4,1,8,"(6, 12, 18)",0,0,0,0.913296610180878,0.909362487049543,0.954964275395952,0.574633356789276,0.00664620845907393
