"sens_qvoa","spec_qvoa","sens_udsa","spec_udsa","mle","ci_lb","ci_ub","code","msg"
0.8,0.9,0.8,0.9,0.0764817821108315,0.0167263713047442,0.349715003229038,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.8,0.9,0.0651692470967026,0.0139056090315452,0.305418537046208,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,0.9,0.8,0.9,0.0567561515304618,0.0118152518138503,0.272635808978074,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.8,0.9,0.9,0.9,0.0779346448288707,0.0182998735819556,0.33190441657429,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.9,0.9,0.0664243742403573,0.0152090352963939,0.29010370528032,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,0.9,0.9,0.9,0.0578532466392135,0.0129197521186905,0.259060554409221,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.8,0.9,1,0.9,0.0801337492705612,0.0199820479482726,0.321359341584018,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,1,0.9,0.0674313789928218,0.0163868973845813,0.27747722867612,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,0.9,1,0.9,0.0587487098228731,0.0139237583394608,0.247879259443238,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,1,1,1,0.177833129702659,0.10902210569314,0.290075318384101,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
