"sens_qvoa","spec_qvoa","sens_udsa","spec_udsa","mle","ci_lb","ci_ub","code","msg"
0.9,0.8,0.9,0.8,1.76608946050235,0.571859428237151,5.45426345791399,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.9,0.8,2.20796469580908,0.829162854152098,5.87955438853392,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,1,0.9,0.8,2.77719808375676,1.24348597081275,6.20258642032047,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.8,0.9,0.9,2.24745146694525,0.803227849736571,6.28842500659174,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.9,0.9,2.58784992266446,1.03438896303809,6.47432200220397,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,1,0.9,0.9,3.05785819060031,1.39084209824706,6.72290314307154,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.8,0.9,1,3.28629470965945,1.5128792305321,7.1385294349882,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,0.9,0.9,1,3.46764841176628,1.64729601772047,7.29958998156557,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
0.9,1,0.9,1,3.75915830893255,1.87687169551682,7.5291620761138,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
1,1,1,1,1.40557463406681,0.864229796033695,2.28601242516639,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH"
