"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.9,0.8,0.9,0.8,12,1,1,1,1,1,1.52209552090165,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.13576146525528,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,2,1.58782719701772,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.40715730923134,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,3,0.79567304870818,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.05993334230896,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,4,1.5857924037484,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.85003209287211,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,5,1.32648522653663,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.10431848499904,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,6,0.875769540848625,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.59885819851617,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,7,0.622067873317062,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.70577688665581,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,8,2.46764191309257,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.81777982620557,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,9,0.577290254079584,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.05348951465131,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,10,2.57120069184023,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.85843390129206,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,11,0.644059957247693,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.9087482591905,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,12,3.44279499074828,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.1209188849675,NA,NA,TRUE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,13,1.59438820941095,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.99467628070735,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,14,1.98120417818767,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.22001473036995,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,15,1.17213129979396,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.22928495616533,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,16,1.72207828165525,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.02245369912418,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,17,0.871041839054015,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.29244967989904,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,18,0.980395527702197,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.24529880057884,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,19,1.3438903437168,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.21174379701667,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,20,5.75989020220637,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",7.22653779009142,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,21,0.896489634025569,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.27603911056622,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,22,4.40960385608775,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.37173496578656,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,23,2.32871013871126,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.1817340194025,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,24,1.86471795490491,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.72249368327037,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,25,1.51178688009568,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.45097601475806,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,26,1.07340968659382,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.60527554447114,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,27,1.59947093316907,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.84354674184267,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,28,1.78751520307825,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.90321579465359,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,29,1.55813755481415,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.89841853391468,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,30,1.14356205853024,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.00181001784348,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,31,0.437439604591506,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.93235946777646,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,32,0.87989202447459,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.57879764135071,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,33,2.55721099979953,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.90657481200875,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,34,1.27179205973329,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.18369858983478,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,35,0.665671197276396,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.27482622115417,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,36,1.24803951938063,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.01649675059641,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,37,2.06746289912119,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.39264935046838,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,38,2.24305090160569,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.84205432333546,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,39,0.62091636514222,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.11671590339868,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,40,2.25449780384535,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.90212182317452,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,41,1.154877984707,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.7124982451617,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,42,3.36550649645003,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.74164342812527,NA,NA,FALSE
