"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.9,0.8,0.9,0.8,12,1,1,1,1,1,2.61094111695554,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.68291022896065,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,2,2.47000559503386,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.05120989105421,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,3,4.60234905139535,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.75070992762982,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,4,0.447012420679936,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.27566206765681,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,5,1.51136836628469,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.43006398809424,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,6,1.47612458380325,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.23440540186999,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,7,1.45397775773352,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.63903259621967,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,8,0.765282378736766,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.22329505674938,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,9,1.056374923471,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.07220380244016,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,10,1.26094588563221,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.23934258908469,NA,NA,FALSE
