"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,1,1.76519919154318,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.00976464148791,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,2,1.52585419098998,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.6969259529265,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,3,1.20972884446011,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.64916068884794,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,4,1.27668268680675,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.75376226340573,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,5,0.790142430850679,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.01141611595983,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,6,0.936947542344483,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.88184182134635,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,7,1.9678133671251,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.93235946789827,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,8,1.16327028115113,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.70032163119599,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,9,1.69869541269885,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.03709715227738,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,10,1.44909944321709,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.62904586593007,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,11,0.694636404153628,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.47140820567042,NA,NA,FALSE
