"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,1,1.46670068748242,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.38725382990131,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,2,0.857252309215612,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.29393179413598,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,3,2.97451457624176,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.16455105944852,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,4,2.07626982025749,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.35134839807334,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,5,1.0415667821558,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.07510810502776,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,6,0.905211542713005,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.52417285687358,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,7,1.19503520624692,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.64916068884794,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,8,1.02253360738341,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.11358259683976,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,9,1.9964526829888,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.35134839805504,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,10,0.794361352900623,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.01141611595983,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,11,2.22401828540817,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.73527373757558,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,12,0.935803056324949,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.88184182134635,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,13,0.936947542344482,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.88184182134635,NA,NA,FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,14,1.60905385783848,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.51498497883084,NA,NA,FALSE
