"","deepseq","u","M","n","MN","MP","m","q","Y1","Y2","Y3"
"d1",0,2.5,18,3,0,18,0,0,0,0,0
"d2",1,0.5,6,3,3,3,3,1,3,1,1
"d3",0,0.1,6,3,5,1,0,0,0,0,0
