"","deepseq","u","M","n","MN","MP","m","q","Y1","Y2","Y3","Y4","Y5","Y6","Y7"
"d1",0,2.5,18,7,2,16,0,0,0,0,0,0,0,0,0
"d2",1,0.5,6,7,2,4,4,1,1,1,1,1,1,1,1
"d3",0,0.1,6,7,3,3,0,0,0,0,0,0,0,0,0
"d4",0,0.025,6,7,6,0,0,0,0,0,0,0,0,0,0
