"","deepseq","u","M","n","MN","MP","m","q","Y1","Y2","Y3"
"d1",1,2.5,14,3,10,4,3,0.75,3,1,1
"d2",0,0.5,6,3,6,0,0,0,0,0,0
"d3",0,0.1,6,3,5,1,0,0,0,0,0
"d4",0,0.025,6,3,6,0,0,0,0,0,0
