"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,1,1.76519919154318,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.87664207881041,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,2,1.52585419098998,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.53769207447407,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,3,1.20972884446011,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.48515357311213,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,4,1.27668268680675,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.25694956669535,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,5,0.790142430850679,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.03063465413737,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,6,0.936947542344483,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.15014816323794,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,7,1.9678133671251,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.03076090425344,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,8,1.16327028115113,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.4008889844405,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,9,1.69869541269885,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.76822689737287,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,10,1.44909944321709,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.79544445477974,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,11,0.694636404153628,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.713687525756945,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,12,1.78091530128514,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.97488444478257,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,13,1.21063677278325,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.14522091760045,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
12,0.9,0.9,0.9,0.9,12,1,1,0.5,1,14,0.791511435697826,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.837765611008014,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",FALSE
