"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.8,0.9,0.8,0.9,12,1,1,1,1,1,1.18391857145285,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.48610713434635,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,2,1.66822204779399,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.44964649225336,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,3,0.653573087928831,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.80222922145877,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,4,1.38831093718483,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.30357954496522,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,5,0.951479329760912,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.59994604552421,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,6,0.76768444636873,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.14154888996233,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,7,1.75826936623987,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.85304271795568,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,8,0.965096118506825,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.94392506145339,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,9,1.15565576261899,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.03983806129593,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,10,3.47146744004842,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.8942508783605,NA,NA,FALSE
