"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.8,0.9,0.8,0.9,12,1,1,1,1,1,1.28528540330275,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.96437533780494,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,2,1.9923184302752,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.21949353859499,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,3,1.08428185144951,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.76527718507681,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,4,3.2664170975417,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.21599067945866,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,5,1.75993345893441,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.53908403497567,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,6,2.38395987090486,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.10398278567289,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,7,1.39426095606776,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.08913319252379,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,8,0.903070699613121,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.10801015372323,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,9,0.933048016228152,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.81902398295532,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,10,1.652168819053,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.73702580881424,NA,NA,TRUE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,11,1.22717886540705,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.43224590172718,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,12,1.31981395216308,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.21273199897068,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,13,1.91629620520761,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.70479286093306,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,14,1.23850690457761,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.49914245270625,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,15,0.715517564057287,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.75687933025069,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,16,1.1296044572889,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.5954729383637,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,17,2.89610036709238,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.20439061876924,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,18,0.418215083269771,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.11358259683976,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,19,0.938928308727206,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.67565337982511,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,20,0.685807368953413,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.69049328650174,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,21,1.53406429949349,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.05764810486323,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,22,1.98288978992887,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.60790043386284,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,23,2.33914317473336,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.98055535720215,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,24,0.388130496214284,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.91907515834889,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,25,0.825095422323627,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.49073150760404,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,26,1.45835609526761,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.64011314582173,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,27,1.39903115996745,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.10975841059875,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,28,1.62018477577302,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.42042240765514,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,29,0.913681929087134,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.00279891708647,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,30,1.11303277739228,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.97488772026295,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,31,3.07744630956332,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.55319735025493,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,32,1.93700204184297,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.68913971793274,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,33,1.88562824533312,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.85597951390795,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,34,2.64975007155164,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.85577970023988,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,35,3.15223644903103,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.03748274362973,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,36,2.58059512020499,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.31894680981405,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,37,0.710178069616602,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.0018419192915,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,38,1.22167076702809,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.07687579263793,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,39,1.28597309736401,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.55394837315171,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,40,1.01960096736709,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.42778041163963,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,41,1.68518127169467,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.53985505846867,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,42,0.472960344939936,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.25002230707927,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,43,0.962820526058504,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.51245587020461,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,44,1.03557817035075,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.97155216295637,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,45,0.884648808452378,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.40825898829761,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,46,0.398395053881695,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.57707602367462,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,47,0.733945028337218,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.3704317223044,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,48,2.85376793565248,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.12169078176064,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,49,0.835381738977706,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.11076952572075,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,50,2.1248635024916,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.89935547401614,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,51,1.63964909950999,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.80512570964497,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,52,2.06248763251827,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.70479286095815,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,53,1.65590405656167,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.81770221010957,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,54,1.00303951937684,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.36796405929022,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,55,4.76315320861444,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.71428656023917,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,56,1.18507333983572,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.25897596105153,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,57,1.13296584069016,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.32390460350062,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,58,1.83149270194036,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.23998908936873,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,59,1.92317459318441,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.54883763892694,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,60,0.654494551346798,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.34153777699355,NA,NA,FALSE
