"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.8,0.9,0.8,0.9,12,1,1,1,1,1,2.34265453619263,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.98976257350855,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,2,2.28268970425894,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.95401583793494,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,3,3.36817891686346,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.89237791961568,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,4,0.576786680515972,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.18374464252584,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,5,0.356624577216868,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.29393179413598,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,6,1.48117424439439,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.98138342304508,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,7,2.09189610905007,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.96829585763101,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,8,0.857283474101553,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.6776946747686,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,9,0.771575040835562,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.87038304393615,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,10,1.54302518941064,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.07266363152978,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,11,1.13538702526547,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.87673921145293,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,12,0.5222129508432,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.85435224393862,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,13,1.19752482679376,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.95746065144235,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,14,1.4773456712464,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.17572901261038,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,15,1.06064045214375,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.33844049860697,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,16,3.62957058780954,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.00319927588554,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,17,0.55875387507026,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.07510810508261,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,18,1.16658714947362,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.81800499062985,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,19,0.84823250024952,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.52206002330502,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,20,0.835661758823836,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.93235946777646,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,21,1.30863524691395,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.68970928929449,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,22,2.45702661559302,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.3718520502241,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,23,2.14512765252781,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.87204184641633,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,24,0.578475705049534,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.21209169670319,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,25,1.53238209989893,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.03314391915868,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,26,1.48503015922974,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.28371750739154,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,27,0.889345459444799,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.10801015365778,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,28,0.507316134612847,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.85435224393862,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,29,1.38151301572049,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.6201571951046,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,30,0.954000588769166,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.17793735187197,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,31,1.60009668527151,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.16317183008736,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,32,1.67371162571687,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.95843411782157,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,33,0.55875387507026,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.07510810508261,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,34,1.01318846478293,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.13607775904956,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,35,2.3160769449441,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.02937847921466,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,36,1.25796994425102,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.26350538039293,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,37,1.10129559800357,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.12791831887891,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,38,1.69741551901545,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.61420605965903,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,39,1.38740402397659,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.42468641995258,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,40,0.746509558912605,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.75102582511673,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,41,0.775449483607325,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.14112897393855,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,42,1.24520417523128,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.30783407140683,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,43,1.82471925306264,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.18782183434834,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,44,0.854090933387364,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.36884722881187,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,45,0.738206949697056,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.05788275848458,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,46,2.61155131551205,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.26486772103028,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,47,0.770225599503929,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.38725382990131,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,48,0.979057658153572,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.27820617474067,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,49,2.50643985742904,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.49543809846892,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,50,1.37167968298406,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.79464808656101,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,51,1.30634768686408,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.66284377123605,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,52,1.17800806519633,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.80060003175876,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,53,0.734118068454606,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.87038304393615,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,54,2.14318477536728,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.79612572929468,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,55,2.55519320682319,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.19990698221954,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,56,1.19411241959316,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.80749544382704,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,57,0.466344615134657,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.44048614082886,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,58,0.786975302535636,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.3290987603708,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,59,0.959894744492797,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.66428452345916,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,60,0.513898657157091,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.55463509445734,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,61,1.44364614959124,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.16580190449869,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,62,4.16329942860842,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.53626546871632,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,63,0.765734994362591,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.5745508480885,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,64,1.4095704640692,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.72957714801655,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,65,4.08879664830601,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.4736682573265,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,66,0.472678399531947,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.46603137385191,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,67,2.27068658951212,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.06840396009495,NA,NA,FALSE
