"sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
0.8,0.9,0.8,0.9,6,1,1,1,1.0506929506131,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.55874791279257,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,2,1.2620090820787,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.70009292082389,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,3,0.811760747089323,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.82225667573394,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,4,1.46401611089833,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.70800270770325,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,5,0.786542646632682,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.65150727159522,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,6,0.821887937889484,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.37204369022944,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,7,0.983781885969077,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.15767348762419,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,8,1.12762891288297,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.65930982341936,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,9,1.46132912146316,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.82464619510918,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,10,1.12807854970588,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.46696305678601,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,11,0.979494549253997,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.59321717685042,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,12,1.30732107622106,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.55792163979632,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,13,1.07043581095593,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.50185758023053,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,14,1.30621927318292,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.85099463764255,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,15,0.448487947611823,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.96201046467588,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,16,1.01730610226261,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.47440472554439,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,17,1.2637649025342,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.48629510568513,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,18,1.25633219141016,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.92178477234415,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,19,1.00782725652633,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.5425066240902,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,20,1.39052998034109,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.71379086154153,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,21,0.929379260823617,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.55759043637174,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,22,1.84621612399093,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.14495656217788,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,23,1.23288299530839,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.76413502547061,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,24,1.05724331679013,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.37672859886403,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,25,0.870099447943441,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.67326285002938,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,26,1.1725375777277,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.67363865875795,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,27,0.874893173377662,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.65286004350845,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,28,0.703789081160999,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.28191802849439,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,29,1.18308404807952,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.97656309437258,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,30,0.843261877840423,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.5767255477557,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,31,0.83394809386444,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.37594823774367,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,32,0.756209122758386,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.48526974149638,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,33,0.749554272705017,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.39064970798949,NA,NA,NA
