"sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
0.8,0.9,0.8,0.9,6,1,1,1,0.881403967020078,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.63098412514459,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,2,0.707447923647318,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.31900994381321,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,3,0.822047337149741,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.42054020011237,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,4,1.18915287115045,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.62894911241878,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,5,1.23667810334999,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.68106041309188,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,6,0.754188453743929,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.5149351324488,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,7,0.790053708268195,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.39862913820357,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,8,1.46614741976506,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.87954881025805,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,9,0.746387753451994,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.47013545625826,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,10,0.671535916645292,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.7008068607986,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,11,0.893833614753298,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.59861837471819,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,12,0.929345571059392,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.57834797463847,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,13,1.26189432426839,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.9460112716209,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,14,1.1416578362538,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.50371288823341,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,15,1.03249446122176,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.65319763292486,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,16,1.3155786402477,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.63278277619239,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,17,1.08047599484002,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.83256727522593,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,18,0.596513133748677,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.4375229885299,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,19,1.19402025722787,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.64538955452076,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,20,1.18686649996735,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.64059409873381,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,21,0.963530053152024,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.82176104238472,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,22,0.659126943445005,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.60952158473088,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,23,1.45391959154665,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.8729632800194,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,24,0.724343696743638,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.17766166597632,NA,NA,NA
