"sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
0.8,0.9,0.8,0.9,6,1,1,1,1.12049079508827,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.924221739061968,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,2,0.72736153580064,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.674254522144677,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,3,1.18254990478382,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.963324071226904,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,4,0.886393207155949,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.815244116526752,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,5,1.19235602527577,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.1603283558332,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,6,0.986874713223583,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.801926741525223,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,7,1.53984734215914,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.2809082961804,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,8,1.04364911618031,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.869404009163936,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,9,0.611015784126613,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.529118200406414,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,10,1.38251766138945,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.934385855150205,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,11,0.86782348239554,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.771091854922296,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,12,1.97000484847819,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.17962598336959,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,13,1.11298853463321,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.03676523091705,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
