"sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
0.8,0.9,0.8,0.9,6,1,1,1,1.45551616121955,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.02256091889616,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,2,1.12494990099917,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.73511503563079,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,3,0.797994282680139,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.48117962560459,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,4,1.14520634444681,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.97160921549225,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,5,1.18521574416739,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.69444150518337,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,6,0.795575460206349,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.46799553666358,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,7,0.795809676541915,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.90287725082905,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,8,1.26872644144727,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.68732573211594,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,9,1.06850879585247,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.62732732005579,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,10,1.26193499950273,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.69325016520455,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,11,0.915935330594094,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.1770872866306,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,12,1.16539130411413,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.4625380732993,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,13,0.802720252726424,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.44379329825071,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,14,0.578743152492889,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.4641822625768,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,15,1.08294589416174,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.83479890258752,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,16,1.11581834123699,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.65279032531593,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,17,1.25674286581586,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.81814805541389,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,18,1.28419680909047,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.91758321808888,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,19,0.749901680344659,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.44721477301392,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,20,1.0090521309899,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.34109763622429,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,21,1.09621202158704,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.78189513128048,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,22,1.26789285829958,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.81459892719643,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,23,1.22524032879657,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.41242604748636,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,24,1.01614825091763,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.6226342763734,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,25,0.911028947235585,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.37378908532132,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,26,0.673750971748879,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.33475065843985,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,27,1.31415088192297,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.65842403435357,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,28,1.08982615329317,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.90537456665721,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,29,1.07002532338048,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.45009561949759,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,30,1.18054088193431,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.74411686213334,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,31,1.01306372419129,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.09129207694902,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,32,0.917371051126529,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.63932221956114,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,33,1.17100071039962,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.85787084966167,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,34,1.26915885493379,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.91834381095461,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,35,1.41917316698296,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.81916284660515,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,36,0.911225891149637,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.58419498869736,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,37,1.12619404869461,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.60570695055001,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,38,0.499637795997282,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.76744618569675,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,39,1.85179183364863,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.55235442306321,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,40,0.461889855616013,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.63528011797696,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,41,1.23691437480163,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.50275790956117,NA,NA,NA
