"sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
0.8,0.9,0.8,0.9,6,1,1,1,0.751668359244305,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.699417567032179,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,2,1.18230561171565,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.976105607460085,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,3,0.678264567927138,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.624663606531926,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,4,1.1493868864545,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.01217234146659,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,5,1.11209426820014,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.92041807193584,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,6,0.932760169882559,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.749754320579278,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,7,0.61731701803978,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.588437115772714,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,8,0.781652599911123,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.686138380594485,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,9,0.996618913828919,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.826256293867414,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,10,1.27841093665896,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.09390135890914,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,11,1.5551188467071,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.17106201192671,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,12,0.906926765435533,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.770214402221601,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,13,1.25138224243481,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.04712797813497,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,14,0.858915961448239,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.72022158996806,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,15,0.948784205765487,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.784267086115712,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,16,1.15523603945939,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.869167874005563,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,17,0.969129160030563,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.773082663699756,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,18,1.46443724857896,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.964904512517571,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,19,0.816566946799732,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.6905217263872,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,20,1.38809731952675,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.01809975272824,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,21,0.877418546252579,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.795039775341645,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,22,0.84464092121971,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.741436808135518,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,23,1.28854098152233,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.00077668429255,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,24,1.26446721155471,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.877708178333032,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,25,1.02779446392904,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.918973702329563,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,26,0.992209824836062,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.830006023508024,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
0.8,0.9,0.8,0.9,6,1,1,27,1.21348609696538,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.942871102129449,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",NA
