"id","lrt_stat","lrt_pval","mle","mle_bc","mle_negbin"
"C1","0",1,"0.129948248828278","0.128631292931752","0.129948248828278"
"C2","0.173685294330866",0.338428562585809,"0.177730595562856","0.175340527884717","0.315009260136915"
"C3","0",1,"0.106793894840494","0.103631215490076","0.106793894840494"
"C4","0.411725760797403",0.260547437255004,"0.135033799641038","0.125940255063189","0.349596844495759"
"C5","0.492246389128468",0.241463474679633,"0.203493796887543","0.189657812265752","0.862499795611466"
"C6","0",1,"0.31411994704337","0.301461520712688","0.31411994704337"
"C7","0",1,"0.626599855640499","0.619216139635831","0.626599855640499"
"C8","0",1,"1.05671326049263","1.04145391327253","1.05671326049263"
"C9","0",1,"0.514711559160583","0.484198748912147","0.514711559160583"
"C10","1.43927714854081",0.115128174666132,"0.791195284951031","0.751438773894477","1.97089323376705"
"C11","0.0426951044476738",0.418150220158842,"0.884818940136688","0.825805032148068","1.05246466250214"
"C12","0.0101754031434211",0.45982555762682,"1.41840846144457","1.40027561419749","1.50963232612157"
"C13","7.46899331607776",0.00313853204498141,"1.40556997036698","1.19481997175693","6.17649452507267"
"C14","0",1,"2.20256803206909","1.73270126013828","2.20256803206909"
"C15","0",1,"2.95252055670772","2.62093102108086","2.95252055670772"
"C16","0",1,"2.96793433695513","2.70352163350405","2.96793433695513"
"C17","0.48252592004895",0.243640200459167,"3.03365307731377","2.73973532757658","4.67891377632609"
